factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy67_peer1 2 2 0.385 -0.496 0.371
pwy71_peer3 2 2 0.002 0.13 0.003
pwy74_peer1 2 2 0.503 -0.432 0.474
pwy83_peer4 2 2 0.028 0.101 0.052
pwy87_peer1 2 2 0.479 0.411 0.461
pwy105_peer1 2 2 0.903 -0.046 0.811
pwy12_peer1 2 2 0.961 0.016 0.92
pwy147_peer1 3 3 0.766 0.062 0.82
pwy148_peer1 3 3 0.771 -0.072 0.83
pwy152_peer2 2 2 0.915 -0.03 0.832
pwy17_peer1 2 2 0.097 0.283 0.198
pwy21_peer1 2 2 0.06 -0.294 0.137
pwy217_peer1 2 2 0.892 -0.102 0.794
pwy22_peer1 2 2 0.129 -0.262 0.244
pwy23_peer1 2 2 0.058 0.288 0.134
pwy243_peer1 2 2 0.105 0.297 0.206
pwy249_peer1 3 3 0.499 0.249 0.43
pwy260_peer1 2 2 0.887 -0.049 0.78
pwy264_peer4 3 3 0.581 -27.802 0.52
pwy29_peer1 2 2 0.104 -0.262 0.199
pwy30_peer1 2 2 0.039 -0.275 0.084
pwy308_peer1 2 2 0.891 0.066 0.793
pwy309_peer1 2 2 0.875 -0.054 0.765
pwy312_peer1 2 2 0.882 0.094 0.778
pwy321_peer3 2 2 0.114 0.332 0.214
pwy327_peer3 2 2 0.203 0.386 0.354
pwy33_peer1 2 2 0.021 -0.285 0.051
pwy34_peer1 2 2 0.029 -0.252 0.067
pwy39_peer1 2 2 0.129 -0.297 0.273
pwy49_peer2 2 2 0.963 0.016 0.916
pwy5_peer5 2 2 0.051 0.305 0.085
pwy51_peer5 2 2 0.011 0.294 0.011
pwy68_peer1 2 2 0.07 0.279 0.157
pwy72_peer1 3 3 0.295 -0.258 0.257
pwy78_peer1 2 2 0.069 -0.256 0.129
pwy85_peer1 2 2 0.069 0.262 0.129
pwy105_peer4 2 2 0.813 -0.087 0.679
pwy15_peer4 2 2 0.086 0.212 0.173
pwy159_peer5 3 3 0.011 -0.21 0.054
pwy165_peer4 2 2 0.183 -0.164 0.312
pwy197_peer3 2 2 0.088 0.194 0.167
pwy219_peer3 2 2 0.735 -0.049 0.65
pwy235_peer5 3 3 0.961 -0.011 0.968
pwy242_peer3 2 2 0.773 0.067 0.641
pwy248_peer4 2 2 0.085 0.141 0.158
pwy251_peer5 2 2 0.997 -0.001 0.992
pwy284_peer3 2 2 0.113 0.191 0.218
pwy297_peer3 2 2 0.031 -0.16 0.045
pwy301_peer3 2 2 0.085 -0.18 0.156
pwy305_peer4 2 2 0.143 0.186 0.258
pwy311_peer3 2 2 0.832 0.068 0.706
pwy321_peer3 4 4 0.363 -0.076 0.375
pwy40_peer4 2 2 0.128 -0.195 0.241
pwy47_peer3 2 2 0.099 0.104 0.082
pwy72_peer4 2 2 0.016 -145.74 0.012
pwy73_peer5 2 2 0.6 -0.068 0.596
pwy8_peer2 2 2 0.711 -0.059 0.637
